Date,Btc_Close,Eth_Close,Ltc_Close
2019-10-18,7954.16,172.96,53.31
2019-10-19,7965.28,172.09,53.81
2019-10-20,8236.12,175.49,54.96
2019-10-21,8209.92,174.37,54.72
2019-10-22,8024.72,171.3,53.42
2019-10-23,7474.85,162.49,49.54
2019-10-24,7430.87,160.67,49.66
2019-10-25,8668.0,181.66,56.95
2019-10-26,9259.78,180.03,56.88
2019-10-27,9548.84,184.41,59.91
2019-10-28,9226.5,182.02,57.83
2019-10-29,9430.8,191.1,59.84
2019-10-30,9164.44,183.38,57.96
2019-10-31,9159.48,182.38,58.37
2019-11-01,9253.12,183.19,58.34
2019-11-02,9308.52,183.25,58.38
2019-11-03,9206.52,181.73,58.34
2019-11-04,9412.53,186.25,61.41
2019-11-05,9322.09,188.88,63.16
2019-11-06,9341.27,191.13,64.16
2019-11-07,9198.84,186.42,61.37
2019-11-08,8763.01,183.62,60.4
2019-11-09,8807.89,184.77,62.04
2019-11-10,9032.23,188.88,63.66
2019-11-11,8721.54,184.65,61.74
2019-11-12,8810.0,186.98,61.4
2019-11-13,8758.34,187.72,60.89
2019-11-14,8630.0,184.55,58.91
2019-11-15,8457.48,179.82,57.53
2019-11-16,8481.0,182.25,58.21
2019-11-17,8500.01,183.88,59.2
2019-11-18,8168.84,177.85,55.72
2019-11-19,8123.36,175.73,55.08
2019-11-20,8082.96,174.35,54.87
2019-11-21,7616.46,160.82,50.6
2019-11-22,7283.03,149.97,47.4
2019-11-23,7329.29,152.0,48.22
2019-11-24,6908.64,139.99,43.95
2019-11-25,7127.01,145.91,45.54
2019-11-26,7162.67,147.83,46.99
2019-11-27,7523.72,153.0,47.8
2019-11-28,7432.41,151.01,46.91
2019-11-29,7760.0,154.75,48.68
2019-11-30,7555.92,151.78,47.26
2019-12-01,7404.27,150.97,47.5
2019-12-02,7305.01,148.97,45.57
2019-12-03,7302.94,147.33,44.82
2019-12-04,7198.99,145.5,44.69
2019-12-05,7393.54,148.18,44.84
2019-12-06,7540.08,148.82,45.36
2019-12-07,7502.19,147.43,45.21
2019-12-08,7520.0,150.71,45.6
2019-12-09,7337.51,147.3,44.44
2019-12-10,7219.37,145.55,44.11
2019-12-11,7201.23,143.29,43.63
2019-12-12,7185.91,144.69,43.6
2019-12-13,7249.9,144.7,44.43
2019-12-14,7062.91,141.73,43.24
2019-12-15,7111.0,142.38,43.41
2019-12-16,6877.03,132.36,39.9
2019-12-17,6616.62,121.83,36.98
2019-12-18,7285.53,132.89,40.77
2019-12-19,7149.12,128.18,39.69
2019-12-20,7190.0,128.37,40.13
2019-12-21,7143.01,127.09,39.73
2019-12-22,7513.06,132.4,41.93
2019-12-23,7310.79,127.78,40.61
2019-12-24,7255.01,127.71,40.3
2019-12-25,7192.12,125.0,40.08
2019-12-26,7194.13,125.49,39.97
2019-12-27,7245.83,126.23,40.93
2019-12-28,7302.67,127.91,42.73
2019-12-29,7384.89,134.3,43.07
2019-12-30,7218.0,131.1,42.23
2019-12-31,7165.72,128.54,41.1
2020-01-01,7174.33,130.19,41.49
2020-01-02,6945.02,126.81,39.32
2020-01-03,7334.45,134.17,42.2
2020-01-04,7348.63,134.14,42.73
2020-01-05,7355.4,135.31,43.28
2020-01-06,7764.63,144.19,45.79
2020-01-07,8158.52,143.08,46.36
2020-01-08,8045.51,140.6,45.28
2020-01-09,7813.78,137.71,44.73
2020-01-10,8198.09,144.72,48.99
2020-01-11,8020.0,142.63,49.36
2020-01-12,8180.81,146.6,51.42
2020-01-13,8104.5,143.51,49.58
2020-01-14,8815.69,165.76,58.4
2020-01-15,8808.81,166.29,58.12
2020-01-16,8714.76,163.93,57.5
2020-01-17,8899.42,169.59,60.86
2020-01-18,8909.32,174.06,59.28
2020-01-19,8697.53,166.75,57.57
2020-01-20,8628.89,166.68,57.1
2020-01-21,8722.03,169.19,57.49
2020-01-22,8660.38,167.68,58.1
2020-01-23,8385.22,162.4,54.42
2020-01-24,8427.26,162.3,54.33
2020-01-25,8326.81,160.12,52.79
2020-01-26,8595.0,167.35,56.08
2020-01-27,8895.96,169.77,58.44
2020-01-28,9394.5,175.99,60.62
2020-01-29,9288.44,173.45,59.62
2020-01-30,9503.08,184.55,67.82
2020-01-31,9334.98,179.74,67.96
2020-02-01,9380.18,183.5,70.69
2020-02-02,9323.5,188.29,69.82
2020-02-03,9280.49,189.42,69.55
2020-02-04,9164.33,188.24,67.84
2020-02-05,9613.82,204.0,72.56
2020-02-06,9763.01,212.95,73.45
2020-02-07,9808.05,223.22,74.25
2020-02-08,9905.64,223.37,76.67
2020-02-09,10168.35,228.8,77.05
2020-02-10,9851.78,222.85,73.98
2020-02-11,10270.01,237.98,76.81
2020-02-12,10351.13,266.49,81.37
2020-02-13,10236.49,268.42,80.55
2020-02-14,10371.33,286.27,83.31
2020-02-15,9911.22,264.92,76.74
2020-02-16,9921.0,258.5,74.7
2020-02-17,9700.0,268.03,73.43
2020-02-18,10188.04,283.31,77.4
2020-02-19,9600.08,258.66,70.67
2020-02-20,9610.05,257.4,69.55
2020-02-21,9695.66,265.8,73.41
2020-02-22,9668.23,262.08,74.88
2020-02-23,9965.01,275.48,79.8
2020-02-24,9660.0,265.31,75.55
2020-02-25,9305.0,246.5,70.96
2020-02-26,8778.3,223.5,60.42
2020-02-27,8812.49,227.63,61.76
2020-02-28,8708.89,227.37,59.99
2020-02-29,8525.07,217.31,58.04
2020-03-01,8522.31,217.26,57.63
2020-03-02,8915.0,232.12,61.47
2020-03-03,8757.84,223.75,61.0
2020-03-04,8760.66,224.56,60.36
2020-03-05,9070.17,228.64,62.01
2020-03-06,9158.51,245.56,63.37
2020-03-07,8901.37,237.75,60.57
2020-03-08,8037.76,199.46,51.15
2020-03-09,7934.52,202.77,50.53
2020-03-10,7894.68,200.5,50.14
2020-03-11,7938.05,194.61,48.54
2020-03-12,4857.1,110.3,30.09
2020-03-13,5637.6,135.51,38.01
2020-03-14,5165.25,122.17,34.43
2020-03-15,5345.35,123.3,36.24
2020-03-16,5037.61,111.38,33.33
2020-03-17,5331.71,116.09,34.17
2020-03-18,5413.64,118.6,34.85
2020-03-19,6186.26,136.68,39.08
2020-03-20,6206.1,133.27,38.09
2020-03-21,6198.78,132.79,38.39
2020-03-22,5818.25,122.42,35.45
2020-03-23,6490.63,137.0,39.12
2020-03-24,6766.64,139.0,40.7
2020-03-25,6690.96,136.26,39.25
2020-03-26,6758.18,139.0,40.59
2020-03-27,6372.36,131.56,38.15
2020-03-28,6251.82,131.35,38.91
2020-03-29,5877.21,124.35,37.11
2020-03-30,6406.4,132.32,38.99
2020-03-31,6424.35,133.08,39.15
2020-04-01,6666.11,136.14,39.33
2020-04-02,6804.52,141.53,39.97
2020-04-03,6741.99,141.54,40.54
2020-04-04,6874.77,144.48,40.85
2020-04-05,6778.25,142.79,40.38
2020-04-06,7341.56,171.5,45.12
2020-04-07,7200.01,164.57,44.8
2020-04-08,7370.11,173.36,46.58
2020-04-09,7293.24,169.75,46.29
2020-04-10,6871.91,158.1,42.36
2020-04-11,6889.65,158.55,42.61
2020-04-12,6908.13,158.87,42.04
2020-04-13,6861.21,156.76,41.37
