Date,Close
2020-12-14,26.65
2020-12-15,25.85
2020-12-16,25.9
2020-12-17,25.78
2020-12-18,25.9
2020-12-21,26.8
2020-12-22,26.85
2020-12-23,26.04
2020-12-24,25.75
2020-12-28,25.6
2020-12-29,26.45
2020-12-30,25.93
2020-12-31,25.7
2021-01-04,26.92
2021-01-05,26.62
2021-01-06,25.95
2021-01-07,25.52
2021-01-08,25.2
2021-01-11,26.4
2021-01-12,25.97
2021-01-13,25.6
2021-01-14,26.01
2021-01-15,26.95
2021-01-19,26.42
2021-01-20,26.65
2021-01-21,26.75
2021-01-22,26.89
2021-01-25,27.64
2021-01-26,27.65
2021-01-27,30.84
2021-01-28,30.37
2021-01-29,31.5
2021-02-01,30.92
2021-02-02,29.15
2021-02-03,28.18
2021-02-04,27.89
2021-02-05,27.85
2021-02-08,27.85
2021-02-09,28.15
2021-02-10,28.67
2021-02-11,28.81
2021-02-12,28.0
2021-02-16,28.45
2021-02-17,29.3
2021-02-18,29.3
2021-02-19,28.85
2021-02-22,29.15
2021-02-23,28.93
2021-02-24,28.0
2021-02-25,29.85
2021-02-26,29.05
2021-03-01,27.69
2021-03-02,28.08
2021-03-03,28.6
2021-03-04,29.35
2021-03-05,28.1
2021-03-08,28.3
2021-03-09,27.9
2021-03-10,27.71
2021-03-11,27.3
2021-03-12,27.15
2021-03-15,26.17
2021-03-16,25.95
2021-03-17,26.07
2021-03-18,26.41
2021-03-19,26.35
2021-03-22,24.95
2021-03-23,25.35
2021-03-24,25.42
2021-03-25,25.01
2021-03-26,24.41
2021-03-29,24.39
2021-03-30,23.85
2021-03-31,23.6
2021-04-01,22.98
2021-04-05,22.58
2021-04-06,22.63
2021-04-07,22.21
2021-04-08,22.13
2021-04-09,22.35
2021-04-12,22.1
2021-04-13,22.14
2021-04-14,22.2
2021-04-15,22.02
2021-04-16,21.6
2021-04-19,22.25
2021-04-20,22.8
2021-04-21,23.45
2021-04-22,23.95
2021-04-23,23.5
2021-04-26,23.33
2021-04-27,22.97
2021-04-28,22.95
2021-04-29,23.05
2021-04-30,23.5
2021-05-03,22.85
2021-05-04,23.5
2021-05-05,23.07
2021-05-06,23.02
2021-05-07,22.24
2021-05-10,22.86
2021-05-11,24.15
2021-05-12,26.6
2021-05-13,24.91
2021-05-14,22.7
2021-05-17,23.15
2021-05-18,23.95
2021-05-19,25.05
2021-05-20,24.2
2021-05-21,23.75
2021-05-24,23.1
2021-05-25,23.19
2021-05-26,22.5
2021-05-27,21.68
2021-05-28,21.79
2021-06-01,22.06
2021-06-02,22.17
2021-06-03,22.45
2021-06-04,21.6
2021-06-07,21.3
2021-06-08,21.46
2021-06-09,21.67
2021-06-10,20.81
2021-06-11,20.31
2021-06-14,20.55
2021-06-15,20.75
2021-06-16,22.15
2021-06-17,21.85
2021-06-18,22.97
2021-06-21,22.27
2021-06-22,21.45
2021-06-23,21.1
2021-06-24,20.87
2021-06-25,20.75
2021-06-28,20.75
2021-06-29,20.9
